<usuário>/<repositório>,ID,Número,Titulo,Nº de comentários,Data de criação,Data da última atualização,Data de conclusão,Nº de perguntas no SO,Nº de respostas no SO,Nº de visualizações no SO
ohmyzsh/ohmyzsh,MDU6SXNzdWU5NzU1OTE=,377,Proposal to Simplify OH-MY-ZSH,87,2011-05-30T19:26:38Z,2014-05-29T15:48:08Z,2012-06-13T20:07:28Z,0,0,0
ohmyzsh/ohmyzsh,MDU6SXNzdWUxNzM4NDc4,630,compdef: unknown command or service: git,86,2011-09-26T10:42:51Z,2020-07-24T20:28:42Z,2014-03-22T20:49:35Z,0,0,0
ohmyzsh/ohmyzsh,MDU6SXNzdWU4NzE1NDk1,1433,history-substring-search doesn't work after update to Ubuntu 12.10 [has workaround],79,2012-11-27T11:10:36Z,2017-06-05T04:22:41Z,2015-02-22T01:00:29Z,0,0,0
CyC2018/CS-Notes,MDU6SXNzdWUzMjgwMTY0OTk=,268,版主弄个微信群吧,44,2018-05-31T06:59:13Z,2018-11-20T09:38:15Z,2018-11-20T09:38:15Z,0,0,0
CyC2018/CS-Notes,MDU6SXNzdWUzMDQ4NDcwMDg=,52,Please translate to english,21,2018-03-13T16:48:04Z,2018-11-20T09:38:50Z,2018-11-20T09:38:50Z,0,0,0
CyC2018/CS-Notes,MDU6SXNzdWU0MTEyMTIyODg=,567,小调查：本项目是否帮你拿到了 Offer？,18,2019-02-17T17:31:07Z,2019-06-19T04:01:44Z,2019-06-19T04:01:44Z,0,0,0
CyC2018/CS-Notes,MDU6SXNzdWUzMDkyMDgwMTc=,106,计算机操作系统那里，进程同步是不是有点问题？,15,2018-03-28T03:26:00Z,2018-07-22T14:14:55Z,2018-07-07T13:34:23Z,0,0,0
CyC2018/CS-Notes,MDU6SXNzdWUzMDg0MTcwNTM=,95,希望大家能在这里添加一些自己认为重要的基础知识点，帮助改进本仓库。,15,2018-03-26T02:49:41Z,2018-10-06T07:08:24Z,2018-04-04T02:58:29Z,0,0,0
donnemartin/system-design-primer,MDU6SXNzdWUyMTMyNzY2NzA=,15,Make the OmniGraffle template and diagrams available,13,2017-03-10T08:33:53Z,2017-04-02T12:36:23Z,2017-04-02T12:34:49Z,0,0,0
donnemartin/system-design-primer,MDU6SXNzdWUyODk3OTAyMjA=,126,Anki flash cards errors,7,2018-01-18T21:58:23Z,2018-09-02T18:10:48Z,2018-09-02T18:10:48Z,0,0,0
donnemartin/system-design-primer,MDU6SXNzdWU2MDEwMjA2MjM=,402,"Normally, the passive server won't take over the IP address of active server in the case of failover",4,2020-04-16T12:45:02Z,2020-04-17T10:20:28Z,2020-04-17T10:20:27Z,0,0,0
donnemartin/system-design-primer,MDU6SXNzdWU1OTYzODc1MDg=,397,"Replace ""master"" and ""slave"" terms",4,2020-04-08T08:04:05Z,2020-08-03T08:57:13Z,2020-08-03T08:57:13Z,0,0,0
donnemartin/system-design-primer,MDU6SXNzdWU0ODE3NDQyMzM=,313,Availability patterns description,4,2019-08-16T19:04:50Z,2020-07-05T14:50:33Z,2020-07-05T14:50:33Z,0,0,0
flutter/flutter,MDU6SXNzdWUzMzI2OTAwODI=,18494,Support APKs with 32-bit and 64-bit binaries within them,286,2018-06-15T08:35:27Z,2020-04-15T17:09:58Z,2019-06-25T22:03:36Z,0,0,0
flutter/flutter,MDU6SXNzdWUyNTAwODA3MDQ=,11609,Consider JSX-like syntax inside dart code,238,2017-08-14T16:16:38Z,2018-08-01T03:50:58Z,2018-08-01T03:50:49Z,0,0,0
flutter/flutter,MDU6SXNzdWUzMTQ0MjYxMTA=,16604,Need to restart or flutter clean too often,235,2018-04-15T15:39:19Z,2020-08-17T23:02:09Z,2020-04-13T17:41:49Z,0,0,0
flutter/flutter,MDU6SXNzdWUzMDgzNDQyMDM=,15922,Consider JSX-like as React Native,203,2018-03-25T12:05:33Z,2020-04-25T19:45:14Z,2018-04-25T20:25:47Z,0,0,0
flutter/flutter,MDU6SXNzdWU0MzkyNDgwMTE=,31922,Support app bundles with 32-bit and 64-bit binaries within them,194,2019-05-01T17:31:54Z,2020-02-03T21:59:50Z,2019-06-24T20:14:24Z,0,0,0
microsoft/vscode,MDU6SXNzdWU1OTA3MDEyMDY=,93814,GitHub Action Error Log,463,2020-03-31T00:52:53Z,2020-11-09T17:20:48Z,2020-08-10T17:49:22Z,0,0,0
microsoft/vscode,MDU6SXNzdWUxMTc4MTcwNTI=,224,Proper tabs for open files,411,2015-11-19T13:49:36Z,2016-06-27T06:44:35Z,2016-06-27T06:42:48Z,1,1,28
microsoft/vscode,MDU6SXNzdWUxMTgxNzUzMTk=,396,Add support for opening multiple project folders in same window,380,2015-11-21T06:44:53Z,2017-12-17T11:05:17Z,2017-11-02T11:03:21Z,1,1,278
microsoft/vscode,MDU6SXNzdWUyNjM2Mjg2MTg=,35783,New VS Code icon is ugly!,361,2017-10-07T09:18:32Z,2017-12-08T20:05:05Z,2017-10-24T19:10:13Z,0,0,0
microsoft/vscode,MDU6SXNzdWUxNjE3NTkxNjA=,8017,Inconsistent weight and use of color in iconography throughout UI,314,2016-06-22T18:55:34Z,2019-09-17T14:53:29Z,2019-08-01T22:12:49Z,0,0,0
airbnb/javascript,MDU6SXNzdWUyMjA3MTM4NjI=,1365,What is the benefit of prefer-default-export?,165,2017-04-10T17:23:49Z,2020-10-14T17:49:43Z,2017-08-08T06:40:20Z,0,0,0
airbnb/javascript,MDU6SXNzdWUxNTA1ODUyMDg=,851,Using 'ForInStatement' is not allowed (no-restricted-syntax),155,2016-04-23T19:01:41Z,2020-03-02T14:11:23Z,2016-04-23T21:16:23Z,1,1,5801
airbnb/javascript,MDU6SXNzdWUyMDIxMTEyOTU=,1271,Using 'ForOfStatement' is not allowed (no-restricted-syntax),153,2017-01-20T10:55:08Z,2020-05-29T07:11:02Z,2017-01-20T18:39:44Z,0,0,0
airbnb/javascript,MDU6SXNzdWUxNzIxNTM0MzU=,1024,Why are underscore prefixes for internal methods of a React component considered bad?,119,2016-08-19T15:09:28Z,2020-09-15T05:12:27Z,2016-08-30T17:00:03Z,0,0,0
airbnb/javascript,MDU6SXNzdWUxODI2NzQ2NDM=,1122,Disallow for-of,113,2016-10-13T01:41:47Z,2020-04-10T06:35:54Z,2016-10-17T06:11:37Z,0,0,0
public-apis/public-apis,MDU6SXNzdWUxNjUwODgxMzY=,203,Migrate to a website,48,2016-07-12T14:02:15Z,2019-12-14T08:10:57Z,2019-04-21T14:13:23Z,27,35,77764
public-apis/public-apis,MDU6SXNzdWUyMTQ4MTY0Mjg=,303,Is it possible to add a column to show if APIs are CORS enabled?,26,2017-03-16T19:39:42Z,2018-01-15T13:33:50Z,2018-01-15T13:33:49Z,53,60,161680
public-apis/public-apis,MDU6SXNzdWUxNDUxNDM0MzY=,140,API key inconsistency,14,2016-04-01T10:22:21Z,2016-12-12T16:42:59Z,2016-12-12T16:42:59Z,61,65,132809
public-apis/public-apis,MDU6SXNzdWUzMTAyOTY5MTk=,644,MetaWeather does not have open CORS,6,2018-04-01T05:32:21Z,2020-11-01T09:10:48Z,2018-04-11T02:46:59Z,8,13,15762
public-apis/public-apis,MDU6SXNzdWU3MTQxMjg5Mjk=,1401,Adding repository to Hacktoberfest,5,2020-10-03T16:47:14Z,2020-10-06T05:16:10Z,2020-10-06T05:16:10Z,5,4,6237
