<usuário>/<repositório>,ID,Número,Titulo,Nº de comentários,Data de criação,Data da última atualização,Data de conclusão,Nº de perguntas no SO,Nº de respostas no SO,Nº de visualizações no SO
microsoft/vscode,MDU6SXNzdWUxNzIzMTgyMDk=,10759,Release in the Microsoft Store,246,2016-08-21T12:10:42Z,2020-09-30T10:41:01Z,-,0,0,0
microsoft/vscode,MDU6SXNzdWUxODI3OTczMzQ=,13680,Git: Support git with private key password,229,2016-10-13T13:58:39Z,2020-11-11T15:00:36Z,-,0,0,0
microsoft/vscode,MDU6SXNzdWUyMzYxMjA1NDY=,28795,"Editor: scroll jumps randomly (related to Chrome, Electron, xinput)",219,2017-06-15T08:53:43Z,2020-11-05T00:21:08Z,-,0,0,0
airbnb/javascript,MDU6SXNzdWUxNzkwNTkyODk=,1089,What rules do the community tend to override?,139,2016-09-25T00:17:27Z,2020-10-19T06:57:04Z,-,0,0,0
airbnb/javascript,MDU6SXNzdWU0OTMwNjU3OQ==,216,Best practices for promises?,44,2014-11-18T23:09:17Z,2020-03-04T20:03:43Z,-,0,0,0
airbnb/javascript,MDU6SXNzdWUxMTk1OTA0OQ==,60,Say something about undefined,26,2013-03-13T03:48:45Z,2018-06-06T09:39:41Z,-,3,2,750
airbnb/javascript,MDU6SXNzdWUxMzU4ODE1NTM=,761,single return vs multiple returns,22,2016-02-23T22:05:57Z,2017-12-09T21:37:30Z,-,0,0,0
airbnb/javascript,MDU6SXNzdWUyODIwODU0NjA=,1660,ESLint is missing rules for blank lines after blocks (section 19.7),16,2017-12-14T12:33:23Z,2019-08-16T16:39:20Z,-,0,0,0
public-apis/public-apis,MDU6SXNzdWU2MTkwNzI4Njk=,1268,Free to review PRs with additional APIs and merge them to master,20,2020-05-15T15:49:23Z,2020-11-02T14:52:33Z,-,2,1,1234
public-apis/public-apis,MDU6SXNzdWU2NTMxMzM2OTQ=,1307,MailboxValidator is not public? and is not free,2,2020-07-08T09:18:52Z,2020-09-26T11:23:50Z,-,3,3,673
public-apis/public-apis,MDU6SXNzdWU1MDE4MDMxMjc=,1055,Enhancement: Allow multiple auth scheme,2,2019-10-03T01:24:10Z,2019-12-16T13:59:26Z,-,2,4,8352
public-apis/public-apis,MDU6SXNzdWU3MjYyMTgxMDE=,1429,Add AmiiboAPI,0,2020-10-21T07:28:39Z,2020-10-21T07:28:39Z,-,3,3,4402
